player_name,career_home_runs
Barry Bonds,762
Hank Aaron,755
Babe Ruth,714
Albert Pujols,703
Alex Rodriguez,696
Willie Mays,660
Ken Griffey,630
Jim Thome,612
Sammy Sosa,609
Frank Robinson,586
