yearID,teamID,League,Wins,Losses,WinPct,AvgSalary_Mil
2013,KCA,AL,86,76,0.5308641791343689,80.091725
2015,NYN,NL,90,72,0.5555555820465088,96.766683
2012,DET,AL,88,74,0.5432098507881165,132.3
2015,DET,AL,74,87,0.45962733030319214,172.28475
2006,TEX,AL,80,82,0.4938271641731262,68.228662
2013,HOU,AL,51,111,0.31481480598449707,17.8907
2014,PIT,NL,88,74,0.5432098507881165,77.178
2014,MIN,AL,70,92,0.43209877610206604,83.7625
2015,COL,NL,68,94,0.4197530746459961,95.6886
2005,SEA,AL,69,93,0.42592594027519226,87.754334
2005,MIN,AL,83,79,0.5123456716537476,56.186
2005,CLE,AL,93,69,0.5740740895271301,41.5025
2009,CLE,AL,65,97,0.40123456716537476,81.579166
2016,NYN,NL,87,75,0.5370370149612427,133.889129
2005,PIT,NL,67,95,0.4135802388191223,38.133
2005,CHA,AL,99,63,0.6111111044883728,75.178
2011,KCA,AL,71,91,0.4382716119289398,35.712
2006,KCA,AL,62,100,0.3827160596847534,47.294
2005,FLO,NL,83,79,0.5123456716537476,60.408834
2005,TEX,AL,79,83,0.48765432834625244,55.849
2015,PIT,NL,98,64,0.604938268661499,88.892499
2011,TEX,AL,96,66,0.5925925970077515,92.299264
2005,SLN,NL,100,62,0.6172839403152466,92.106833
2006,SLN,NL,83,78,0.5155279636383057,88.891371
2014,KCA,AL,89,73,0.5493826866149902,74.594075
2007,MIL,NL,83,79,0.5123456716537476,70.9865
2012,CIN,NL,97,65,0.5987654328346252,82.203616
2010,BOS,AL,89,73,0.5493826866149902,162.447333
2009,COL,NL,92,70,0.5679012537002563,75.201
2011,DET,AL,95,67,0.5864197611808777,105.700231
2016,DET,AL,86,75,0.5341615080833435,194.876481
2016,CIN,NL,68,94,0.4197530746459961,88.940059
2011,FLO,NL,72,90,0.4444444477558136,56.944
2006,CHN,NL,66,96,0.40740740299224854,94.424499
2015,TOR,AL,93,69,0.5740740895271301,112.9924
2011,ATL,NL,89,73,0.5493826866149902,87.002692
2006,SEA,AL,78,84,0.48148149251937866,87.959833
2016,MIA,NL,79,82,0.4906832277774811,77.314202
2010,MIL,NL,77,85,0.4753086566925049,81.108278
2007,CHA,AL,72,90,0.4444444477558136,108.671833
2007,NYA,AL,94,68,0.5802469253540039,189.259045
2011,LAA,AL,86,76,0.5308641791343689,138.543166
2014,SEA,AL,87,75,0.5370370149612427,92.5311
2015,ARI,NL,79,83,0.48765432834625244,61.834
2010,BAL,AL,66,96,0.40740740299224854,81.6125
2015,SDN,NL,74,88,0.45679011940956116,118.4413
2007,NYN,NL,88,74,0.5432098507881165,115.231663
2009,OAK,AL,75,87,0.46296295523643494,61.91
2013,CIN,NL,90,72,0.5555555820465088,106.404462
2013,CHA,AL,63,99,0.3888888955116272,120.065277
2012,MIN,AL,66,96,0.40740740299224854,94.085
2006,TBA,AL,61,101,0.37654322385787964,34.917967
2009,TOR,AL,75,87,0.46296295523643494,80.5383
2014,TOR,AL,83,79,0.5123456716537476,109.9201
2008,TEX,AL,79,83,0.48765432834625244,67.712326
2011,ARI,NL,94,68,0.5802469253540039,53.639833
2006,OAK,AL,93,69,0.5740740895271301,62.243079
2010,SLN,NL,86,76,0.5308641791343689,93.540751
2014,BAL,AL,96,66,0.5925925970077515,103.416
